x,y,States
-92,190,Jammu And Kashmir
-40,143,Himachal Pradesh
-105,125,Punjab
-80,93,Haryana
-33,111,Uttarakhand
-26,58,Uttar Pradesh
-133,58,Rajasthan
-163,-2,Gujarat
-52,1,Madhya Pradesh
49,28,Bihar
-6,-29,Chhattisgarh
49,3,Jharkhand
93,-6,West Bengal
32,-48,Odisha
-103,-60,Maharashtra
-41,-88,Telangana
-88,-146,Karnataka
-26,-132,Andhra Pradesh
-65,-186,Tamil Nadu
-86,-206,Kerala
-124,-125,Goa
98,65,Sikkim
178,82,Arunachal Pradesh
154,45,Assam
130,29,Meghalaya
136,5,Tripura
173,-5,Mizoram
181,20,Manipur
200,35,Nagaland
-69,78,Delhi
